Cluster 1
armstbj01
barroda01
mccloge01
brownde01
eliema01
maystr01
millste01
anthogr01
iuzzomi01
murdoer01
davishu01
horryro01
murratr01
peelean01
burresc01
hunteli01
robinja02
russebr01
whitnch01
armstda01
childch01
macksa01
persowe01
piatker01
reevekh01
ruffitr01
wardch01
barrybr01
lenarvo01
surabo01
bowenbr01
delkto01
fishede01
malonma01
stricer01
hudsotr01
jacksbo01
mcinnje01
parkean01
thomati01
washier01
garripa01
jonesda01
luety01
nesbyty01
atkinch01
jonesju01
poseyja01
bellra01
houseed01
millemi01
petermo01
richaqu01
stevede01
battish01
griffed01
jamesmi01
radmavl01
simmobo01
bremejr01
butlera01
dunlemi02
giricgo01
jaricma01
jonesfr01
masonro01
murraro01
nachbbo01
salmojo01
wagneda02
barbole01
barnema02
blakest01
boganke01
hayesja01
korveky01
parkesm01
pietrmi01
ridnolu01
bellch01
delfica01
duhonch01
harride01
nocioan01
smithjr01
westde01
wrighdo01
anderal01
caldejo01
fryech01
garcifr01
greenge01
headlu01
jackja01
kleizli01
mccanra01
milescj01
robinna01
stoudsa01
villach01
webstma02
willilo02
azubuke01
bareajo01
farmajo01
foyera01
garbajo01
gibsoda01
redicjj01
afflaar01
belinma01
breweco01
brookaa01
cookda02
dudleja01
youngni01
anderry01
augusdj01
bayleje01
chalmma01
fernaru01
hillge01
ilyaser01
leeco01
morroan01
rushbr01
tollian01
walkebi01
