Cluster 3
Kostas Antetokounmpo
Thanasis Antetokounmpo
Jonah Bolden
Ryan Broekhoff
Deonte Burton
Joe Chealey
Chris Chiozza
Gary Clark
Antonius Cleveland
Drew Eubanks
Melvin Frazier
Josh Gray
Dusty Hannahs
Isaiah Hartenstein
Amile Jefferson
Alize Johnson
B.J. Johnson
Rodions Kurucs
Daryl Macon
J.P. Macura
Josh Magette
Chimezie Metu
D_anan Musa
Theo Pinson
Zhaire Smith
Khyri Thomas
Jarrod Uthoff
Jarred Vanderbilt
Derrick Walton
Yuta Watanabe
Johnathan Williams
