,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
106,Jerrod Mustaf\mustaje01,22,PHO,NBA,1991-92,52,3,10.5,1.8,3.7,1.8,3.7,0,0,0.9,1.4,0.9,1.9,2.8,0.9,0.4,0.3,1,1.1,4.5,0.477,0.477,,0.477,0.69,0.52
107,Alan Ogg\oggal01,24,MIA,NBA,1991-92,43,0,8.5,1.1,2,1.1,2,0,0,0.4,0.7,0.7,1,1.7,0.2,0.1,0.7,0.4,1.7,2.5,0.548,0.548,,0.548,0.533,0.556
108,Brian Oliver\olivebr01,23,PHI,NBA,1991-92,34,0,8.2,1,2.9,1,2.8,0,0.1,0.4,0.6,0.3,0.6,0.9,0.6,0.3,0.1,0.7,1,2.4,0.33,0.344,0,0.33,0.682,0.369
109,Gary Payton\paytoga01,23,SEA,NBA,1991-92,81,79,31.5,4.1,9.1,4,8.8,0,0.3,1.2,1.8,1.5,2.1,3.6,6.2,1.8,0.3,2.1,3.1,9.4,0.451,0.461,0.13,0.453,0.669,0.478
110,Kevin Pritchard\pritcke01,24,BOS,NBA,1991-92,11,0,12.4,1.5,3.1,1.5,2.8,0,0.3,1.3,1.6,0.1,0.9,1,2.7,0.3,0.4,1,1.5,4.2,0.471,0.516,0,0.471,0.778,0.549
111,Larry Robinson\robinla01,24,BOS,NBA,1991-92,1,0,6,1,5,1,5,0,0,0,0,2,0,2,1,0,0,1,3,2,0.2,0.2,,0.2,,0.2
112,Rumeal Robinson\robinru01,25,ATL,NBA,1991-92,81,64,27.4,5.2,11.5,4.8,10.2,0.4,1.3,2.2,3.4,0.8,1.9,2.7,5.5,1.3,0.3,2.5,2.2,13,0.456,0.472,0.327,0.474,0.636,0.503
113,Donald Royal\royaldo01,25,SAS,NBA,1991-92,60,4,12,1.3,3,1.3,3,0,0,1.5,2.2,1.1,1,2.1,0.6,0.4,0.1,0.7,1.2,4.2,0.449,0.449,,0.449,0.692,0.533
114,Steve Scheffler\schefst01,24,TOT,NBA,1991-92,11,0,5.5,0.5,0.8,0.5,0.8,0,0,0.8,1.1,0.9,0.4,1.3,0,0.3,0.1,0.1,0.9,1.9,0.667,0.667,,0.667,0.75,0.735
115,Dwayne Schintzius\schindw01,23,SAC,NBA,1991-92,33,0,12.1,1.5,3.5,1.5,3.4,0,0.1,0.3,0.4,1.3,2.3,3.6,0.6,0.2,0.8,0.6,2,3.3,0.427,0.442,0,0.427,0.833,0.45
116,Dennis Scott\scottde01,23,ORL,NBA,1991-92,18,15,33.8,7.4,18.4,5.8,13.4,1.6,4.9,3.6,3.9,0.8,2.9,3.7,1.9,1.1,0.5,1.7,2.7,19.9,0.402,0.43,0.326,0.446,0.901,0.496
117,Lionel Simmons\simmoli01,23,SAC,NBA,1991-92,78,78,37.1,6.8,14.9,6.7,14.8,0,0.1,3.6,4.7,1.9,6.2,8.1,4.3,1.7,1.7,2.8,2.6,17.1,0.454,0.455,0.2,0.454,0.77,0.505
118,Tony Smith\smithto02,23,LAL,NBA,1991-92,63,0,13,1.8,4.5,1.8,4.3,0,0.2,0.8,1.2,0.5,0.7,1.2,1.7,0.6,0.1,0.8,1.4,4.4,0.399,0.415,0,0.399,0.653,0.435
119,Felton Spencer\spencfe01,24,MIN,NBA,1991-92,61,54,24.3,2.3,5.4,2.3,5.4,0,0,2,2.9,2.7,4.4,7.1,0.9,0.4,1.3,1.1,4,6.6,0.426,0.426,,0.426,0.691,0.495
120,Loy Vaught\vaughlo01,23,LAC,NBA,1991-92,79,38,21.4,3.4,7,3.4,6.9,0.1,0.1,0.7,0.9,2,4.5,6.5,0.9,0.5,0.4,0.8,2.1,7.6,0.492,0.489,0.8,0.495,0.797,0.517
121,Alexander Volkov\volkoal01,27,ATL,NBA,1991-92,77,27,19.7,3.3,7.4,2.8,6,0.5,1.4,1.6,2.6,1.3,2.1,3.4,3.2,0.9,0.4,1.3,2.3,8.6,0.441,0.471,0.318,0.472,0.631,0.504
122,Stojko Vranković\vrankst01,28,BOS,NBA,1991-92,19,0,5.8,0.8,1.7,0.8,1.7,0,0,0.4,0.6,0.4,1.1,1.5,0.3,0,0.9,0.5,1.2,1.9,0.469,0.469,,0.469,0.583,0.496
123,Jayson Williams\willija01,23,PHI,NBA,1991-92,50,8,12.9,1.5,4.1,1.5,4.1,0,0,1.1,1.8,1.2,1.7,2.9,0.2,0.4,0.4,0.9,2.2,4.1,0.364,0.364,,0.364,0.636,0.421
124,Kenny Williams\willike03,22,IND,NBA,1991-92,60,6,9.4,1.9,3.6,1.9,3.6,0,0.1,0.4,0.7,1.1,1.1,2.2,0.7,0.3,0.7,0.4,1.7,4.2,0.518,0.528,0,0.518,0.605,0.532
125,Scott Williams\willisc01,23,CHI,NBA,1991-92,63,0,11,1.3,2.7,1.3,2.7,0,0,0.8,1.2,1.4,2.5,3.9,0.8,0.2,0.6,0.6,1.9,3.4,0.483,0.491,0,0.483,0.649,0.523
126,Kennard Winchester\winchke01,25,TOT,NBA,1991-92,19,0,4.3,0.7,1.6,0.6,1.5,0.1,0.1,0.4,0.5,0.3,0.5,0.8,0.4,0.1,0.1,0.1,0.3,1.8,0.433,0.429,0.5,0.45,0.8,0.509
127,Victor Alexander\alexavi01,23,GSW,NBA,1992-93,72,59,24.3,4.8,9.3,4.6,9,0.1,0.3,1.5,2.3,1.8,4,5.8,1.3,0.5,0.7,1.7,3,11.2,0.516,0.518,0.455,0.523,0.685,0.548
128,Kenny Anderson\anderke01,22,NJN,NBA,1992-93,55,55,36.5,6.7,15.5,6.6,15,0.1,0.5,3.3,4.2,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9,0.435,0.44,0.28,0.439,0.776,0.487
129,Greg Anthony\anthogr01,25,NYK,NBA,1992-93,70,35,24.3,2.5,6,2.4,5.6,0.1,0.4,1.5,2.3,0.6,1.8,2.4,5.7,1.6,0.2,1.5,2,6.6,0.415,0.437,0.133,0.42,0.673,0.469
130,Stacey Augmon\augmost01,24,ATL,NBA,1992-93,73,66,28.9,5.4,10.8,5.4,10.8,0,0.1,3.1,4.2,1.9,2,3.9,2.3,1.2,0.2,2.2,1.9,14,0.501,0.504,0,0.501,0.739,0.551
131,Isaac Austin\austiis01,23,UTA,NBA,1992-93,46,3,6.7,1.1,2.4,1.1,2.4,0,0,0.6,1,0.8,0.9,1.7,0.1,0.2,0.3,0.5,1.3,2.8,0.446,0.45,0,0.446,0.659,0.491
132,Steve Bardo\bardost01,24,DAL,NBA,1992-93,23,0,7.6,0.8,2.7,0.8,2.4,0,0.3,0.5,0.7,0.4,1.2,1.6,1.3,0.3,0.1,0.7,1.2,2.2,0.306,0.321,0.167,0.315,0.706,0.367
133,David Benoit\benoida01,24,UTA,NBA,1992-93,82,27,20.9,3.1,7.2,2.7,6,0.4,1.2,1.4,1.9,1.4,3.4,4.8,0.5,0.5,0.5,1.1,2.5,8.1,0.436,0.453,0.347,0.465,0.75,0.504
134,Terrell Brandon\brandte01,22,CLE,NBA,1992-93,82,8,19.8,3.6,7.6,3.5,7.1,0.2,0.5,1.4,1.7,0.5,1.7,2.2,3.7,1,0.3,1.3,1.5,8.8,0.478,0.491,0.31,0.489,0.825,0.53
135,Kevin Brooks\brookke01,23,DEN,NBA,1992-93,55,2,10.4,1.7,4.2,1.6,3.8,0.1,0.5,0.6,0.7,0.4,1.1,1.5,0.6,0.2,0,0.7,0.8,4.1,0.399,0.42,0.231,0.412,0.875,0.453
136,Randy Brown\brownra02,24,SAC,NBA,1992-93,75,34,23,3,6.5,3,6.4,0,0.1,1.5,2.1,1,1.8,2.8,2.6,1.4,0.5,1.6,2.7,7.6,0.463,0.465,0.333,0.465,0.732,0.511
137,Pete Chilcutt\chilcpe01,24,SAC,NBA,1992-93,59,9,14.1,2.8,5.8,2.8,5.8,0,0,0.5,0.8,1.4,1.9,3.3,1.1,0.4,0.4,0.9,1.7,6.1,0.485,0.485,,0.485,0.696,0.502
138,Marty Conlon\conloma01,25,SAC,NBA,1992-93,46,0,10.2,1.8,3.7,1.8,3.6,0,0.1,1.2,1.8,1,1.6,2.7,0.8,0.3,0.1,0.6,0.9,4.8,0.474,0.485,0,0.474,0.704,0.53
139,Chris Corchiani\corchch01,24,TOT,NBA,1992-93,10,0,10.5,1.4,2.4,1.4,2.1,0,0.3,1.6,2.1,0.1,0.6,0.7,1.6,0.6,0,0.8,1.8,4.4,0.583,0.667,0,0.583,0.762,0.662
140,Dale Davis\davisda01,23,IND,NBA,1992-93,82,82,27.6,3.7,6.5,3.7,6.5,0,0,1.5,2.7,3.5,5.3,8.8,0.8,0.8,1.8,1,3.3,8.9,0.568,0.568,,0.568,0.529,0.573
141,Bison Dele\delebi01,23,ORL,NBA,1992-93,21,0,11.4,1.9,3.7,1.9,3.7,0,0,0.8,1,1.1,1.5,2.7,0.2,0.7,0.8,1.2,2.3,4.6,0.513,0.519,0,0.513,0.8,0.553
142,Rick Fox\foxri01,23,BOS,NBA,1992-93,71,14,15.2,2.6,5.4,2.5,5,0.1,0.3,1.1,1.4,0.8,1.5,2.2,1.6,0.9,0.3,1.1,1.9,6.4,0.484,0.504,0.174,0.489,0.802,0.534
143,Chris Gatling\gatlich01,25,GSW,NBA,1992-93,70,11,17.8,3.6,6.6,3.6,6.5,0,0.1,2.1,3,1.8,2.7,4.6,0.6,0.6,0.8,1.5,2.8,9.3,0.539,0.546,0,0.539,0.725,0.586
144,Paul Graham\grahapa01,25,ATL,NBA,1992-93,80,11,18.9,3.2,7,2.7,5.2,0.5,1.8,1.2,1.6,0.8,1.6,2.4,2.1,1.1,0.1,1.5,2.3,8.1,0.457,0.511,0.298,0.495,0.733,0.526
145,Sean Green\greense01,22,IND,NBA,1992-93,13,0,6.2,2.2,4.2,1.9,3.5,0.2,0.8,0.2,0.3,0.3,0.4,0.7,0.5,0.2,0.1,0.7,0.8,4.8,0.509,0.556,0.3,0.536,0.75,0.546
146,Carl Herrera\herreca01,26,HOU,NBA,1992-93,81,12,22.2,3,5.5,3,5.5,0,0,1.5,2.2,1.8,3.8,5.6,0.8,0.6,0.4,1.1,2.3,7.5,0.541,0.543,0,0.541,0.71,0.58
147,Donald Hodge\hodgedo01,23,DAL,NBA,1992-93,79,8,16,2,5.1,2,5.1,0,0,0.9,1.3,1.2,2.5,3.7,0.9,0.4,0.5,1.1,2.6,5,0.403,0.403,,0.403,0.683,0.441
148,Brian Howard\howarbr01,25,DAL,NBA,1992-93,68,22,19,2.7,6.1,2.7,6,0,0.1,1.1,1.4,1,2.1,3.1,1,0.8,0.5,1,3.2,6.5,0.442,0.447,0.143,0.443,0.766,0.482
149,Mike Iuzzolino\iuzzomi01,25,DAL,NBA,1992-93,70,23,25.3,3.2,6.8,2.4,4.8,0.8,2.1,1.6,2.1,0.4,1.6,2,4.7,0.7,0.1,1.8,1.4,8.7,0.462,0.5,0.375,0.519,0.765,0.561
150,Larry Johnson\johnsla02,23,CHH,NBA,1992-93,82,82,40.5,8.9,16.9,8.7,16,0.2,0.9,4.1,5.3,3.4,7.1,10.5,4.3,0.6,0.3,2.8,2.3,22.1,0.526,0.54,0.254,0.532,0.767,0.574
151,Stan Kimbrough\kimbrst01,26,SAC,NBA,1992-93,3,0,5,0.7,2,0.3,1.3,0.3,0.7,0,0,0,0,0,0.3,0.3,0,0,0.3,1.7,0.333,0.25,0.5,0.417,,0.417
152,Rich King\kingri01,23,SEA,NBA,1992-93,3,0,4,0.7,1.7,0.7,1.7,0,0,0.7,0.7,0.3,1.3,1.7,0.3,0,0,1,0.3,2,0.4,0.4,,0.4,1,0.51
153,Doug Lee\leedo01,28,NJN,NBA,1992-93,5,0,6.6,0.4,1.4,0.2,0.8,0.2,0.6,0,0,0,0.4,0.4,1,0,0.2,0.6,1.4,1,0.286,0.25,0.333,0.357,,0.357
154,Luc Longley\longllu01,24,MIN,NBA,1992-93,55,25,19,2.4,5.3,2.4,5.3,0,0,1,1.3,1.3,3.1,4.4,0.9,0.9,1.4,1.6,3.1,5.8,0.455,0.455,,0.455,0.716,0.491
155,Kevin Lynch\lynchke01,24,CHH,NBA,1992-93,40,8,8.1,0.8,1.5,0.8,1.5,0,0,0.7,1,0.3,0.6,0.9,0.6,0.3,0.2,0.6,1.1,2.2,0.508,0.517,0,0.508,0.684,0.568
156,Mark Macon\maconma01,23,DEN,NBA,1992-93,48,27,23.8,3.3,7.9,3.3,7.8,0,0.1,0.9,1.3,0.7,1.5,2.1,2.6,1.4,0.1,1.5,2.8,7.5,0.415,0.421,0,0.415,0.7,0.439
157,Tracy Moore\mooretr01,27,DAL,NBA,1992-93,39,1,13.1,2.6,6.4,2.1,4.7,0.6,1.7,1.4,1.6,0.6,0.7,1.3,1.2,0.5,0.1,0.8,1.4,7.2,0.414,0.44,0.343,0.46,0.869,0.511
158,Eric Murdock\murdoer01,24,MIL,NBA,1992-93,79,78,30.8,5.5,11.8,5.2,10.3,0.4,1.5,2.9,3.7,1.2,2.4,3.6,7.6,2.2,0.1,2.6,2.2,14.4,0.468,0.498,0.261,0.485,0.78,0.534
159,Dikembe Mutombo\mutomdi01,26,DEN,NBA,1992-93,82,82,36.9,4.9,9.5,4.9,9.5,0,0,4.1,6,4.2,8.9,13,1.8,0.5,3.5,2.6,3.5,13.8,0.51,0.51,,0.51,0.681,0.567
160,Dan O'Sullivan\osullda01,24,TOT,NBA,1992-93,6,0,2.8,0.5,0.8,0.5,0.8,0,0,0.5,0.7,0.3,0.7,1,0.2,0.2,0,0,0.7,1.5,0.6,0.6,,0.6,0.75,0.666
161,Billy Owens\owensbi01,23,GSW,NBA,1992-93,37,37,32.5,6.7,13.3,6.6,13,0,0.3,3.2,4.9,2.9,4.2,7.1,3.9,0.9,0.8,2.9,2.8,16.5,0.501,0.51,0.091,0.502,0.639,0.534
162,Robert Pack\packro01,23,DEN,NBA,1992-93,77,1,20.5,3.7,7.9,3.7,7.8,0,0.1,3.1,4,0.7,1.4,2.1,4.4,1.1,0.1,2.4,2.4,10.5,0.47,0.475,0.125,0.471,0.768,0.545
163,Gerald Paddio\paddige01,27,SEA,NBA,1992-93,41,3,7.5,1.7,3.9,1.7,3.7,0,0.2,0.3,0.5,0.4,0.8,1.2,0.8,0.3,0.1,0.4,0.6,3.9,0.447,0.457,0.25,0.453,0.667,0.47
164,Walter Palmer\palmewa01,24,DAL,NBA,1992-93,20,0,6.2,1.4,2.9,1.4,2.9,0,0,0.3,0.5,0.6,1.6,2.2,0.3,0.1,0.3,0.5,1.5,3,0.474,0.474,,0.474,0.667,0.492
165,Bobby Phills\phillbo01,23,CLE,NBA,1992-93,31,0,4.5,1.2,2.6,1.2,2.5,0.1,0.2,0.5,0.8,0.2,0.4,0.5,0.3,0.3,0.1,0.6,0.6,3,0.463,0.468,0.4,0.476,0.6,0.5
166,Gary Plummer\plummga01,30,DEN,NBA,1992-93,60,0,12.3,1.8,3.8,1.8,3.8,0,0.1,1.2,1.6,0.9,2,2.9,0.7,0.2,0.2,1.3,2.4,4.7,0.465,0.471,0,0.465,0.726,0.521
167,Mark Randall\randama01,25,TOT,NBA,1992-93,37,0,6.7,1.1,2.2,1.1,1.9,0,0.2,0.4,0.7,0.7,0.8,1.5,0.3,0.1,0.1,0.5,0.9,2.6,0.5,0.542,0.125,0.506,0.615,0.53
168,Stanley Roberts\roberst01,22,LAC,NBA,1992-93,77,76,23.6,4.9,9.2,4.9,9.2,0,0,1.6,3.2,2.4,3.9,6.2,0.8,0.4,1.8,1.6,4.3,11.3,0.527,0.527,,0.527,0.488,0.531
169,Doug Smith\smithdo03,23,DAL,NBA,1992-93,61,42,25,4.7,10.9,4.7,10.9,0,0.1,0.9,1.2,1.6,3.8,5.4,1.7,0.8,0.9,1.9,4.6,10.4,0.434,0.437,0,0.434,0.757,0.454
170,LaBradford Smith\smithla02,23,WSB,NBA,1992-93,69,33,22.4,3.8,8.3,3.7,7.9,0.1,0.3,1.6,1.8,0.4,1.2,1.5,2.7,0.8,0.1,1.5,2.6,9.3,0.458,0.463,0.348,0.465,0.858,0.51
171,Steve Smith\smithst01,23,MIA,NBA,1992-93,48,43,33.5,5.8,12.9,4.7,10.1,1.1,2.8,3.2,4.1,1.2,2.9,4.1,5.6,1,0.3,2.7,3.1,16,0.451,0.464,0.402,0.494,0.787,0.543
172,Larry Stewart\stewala01,24,WSB,NBA,1992-93,81,8,22.5,3.8,7,3.8,6.9,0,0,2.3,3.1,1.9,2.8,4.7,1.8,0.6,0.4,1.9,2.4,9.8,0.543,0.544,0,0.543,0.727,0.589
173,Alex Stivrins\stivral01,30,TOT,NBA,1992-93,19,0,4,1,2.1,1,1.9,0,0.1,0.2,0.2,0.4,0.6,1,0.2,0.1,0.1,0.4,0.6,2.2,0.487,0.514,0,0.487,0.75,0.503
174,Derek Strong\stronde01,24,MIL,NBA,1992-93,23,0,14.7,1.8,4,1.7,3.7,0.2,0.3,3,3.7,1.7,3.3,5,0.6,0.5,0,0.6,0.9,6.8,0.457,0.452,0.5,0.478,0.8,0.603
175,Lamont Strothers\strotla01,24,DAL,NBA,1992-93,9,0,15.3,2.2,6.8,2,5.3,0.2,1.4,0.9,1.1,0.9,0.7,1.6,1.4,0.9,0,1.7,1.4,5.6,0.328,0.375,0.154,0.344,0.8,0.382
176,Duane Washington\washidu01,28,LAC,NBA,1992-93,4,0,7,0,1.3,0,1.3,0,0,0,0,0,0.5,0.5,1.3,0.3,0,0.5,0.5,0,0,0,,0,,0
177,Howard Wright\wrighho02,25,ORL,NBA,1992-93,4,0,2.5,1,1.3,1,1.3,0,0,0,0.5,0.3,0.3,0.5,0,0,0,0,0,2,0.8,0.8,,0.8,0,0.68
178,Eric Anderson\anderer01,23,NYK,NBA,1993-94,11,0,3.5,0.6,1.5,0.5,1.4,0.2,0.2,0.5,1.3,0.5,1,1.5,0.2,0,0.1,0.2,0.8,1.9,0.412,0.333,1,0.471,0.357,0.453
179,Anthony Avent\aventan01,24,TOT,NBA,1993-94,74,40,18.5,2,5.4,2,5.4,0,0,1.2,1.7,1.9,2.6,4.6,0.9,0.4,0.4,1.1,2,5.3,0.377,0.377,,0.377,0.724,0.43
180,Jon Barry\barryjo01,24,MIL,NBA,1993-94,72,7,17.3,2.2,5.3,1.8,3.7,0.4,1.6,1.3,1.7,0.5,1.5,2,2.3,1.4,0.2,1.2,1.5,6.2,0.414,0.472,0.278,0.455,0.795,0.511
181,Tony Bennett\benneto01,24,CHH,NBA,1993-94,74,5,13.3,1.4,3.6,1.1,2.5,0.4,1,0.1,0.2,0.2,1,1.2,2.2,0.5,0,0.5,1.1,3.4,0.399,0.415,0.36,0.451,0.733,0.46
182,Walter Bond\bondwa01,24,UTA,NBA,1993-94,56,4,10,1.1,2.8,0.8,1.8,0.3,1,0.6,0.7,0.4,0.7,1.1,0.6,0.3,0.2,0.3,1.6,3.1,0.404,0.431,0.352,0.465,0.775,0.507
183,Doug Christie\chrisdo01,23,LAL,NBA,1993-94,65,34,23.3,3.8,8.6,3.2,6.8,0.6,1.8,2.2,3.2,1.4,2.2,3.6,2.1,1.4,0.4,2.2,2.9,10.3,0.434,0.463,0.328,0.469,0.697,0.514
184,Duane Cooper\coopedu01,24,PHO,NBA,1993-94,23,2,5.9,0.8,1.8,0.7,1.5,0,0.3,0.5,0.7,0.1,0.3,0.4,1.2,0.1,0,0.9,0.5,2.1,0.439,0.5,0.143,0.451,0.733,0.504
185,Joe Courtney\courtjo01,24,TOT,NBA,1993-94,52,1,6.6,1.3,2.8,1.3,2.8,0,0.1,0.6,0.9,0.5,0.5,1.1,0.3,0.2,0.2,0.4,0.8,3.2,0.453,0.448,0.667,0.459,0.681,0.498
186,John Crotty\crottjo01,24,UTA,NBA,1993-94,45,0,7,1,2.2,0.8,1.7,0.2,0.5,0.7,0.8,0.2,0.4,0.7,1.7,0.3,0,0.6,0.8,2.9,0.455,0.453,0.458,0.51,0.861,0.575
187,Lloyd Daniels\daniell01,26,SAS,NBA,1993-94,65,5,15.1,2.2,5.7,1.5,3.8,0.7,1.9,0.7,1,0.7,1,1.7,1.4,0.4,0.2,0.9,1.1,5.7,0.376,0.389,0.352,0.435,0.719,0.462
188,Hubert Davis\davishu01,23,NYK,NBA,1993-94,56,27,23.8,4.3,9,3.3,6.7,0.9,2.4,1.5,1.8,0.4,0.8,1.2,2.9,0.7,0.1,1.4,2.1,11,0.471,0.496,0.402,0.524,0.825,0.558
189,Todd Day\dayto01,24,MIL,NBA,1993-94,76,39,28,4.6,11.1,4.2,9.2,0.4,1.9,3,4.4,1.5,2.6,4.1,1.8,1.4,0.7,1.7,2.9,12.7,0.415,0.456,0.223,0.435,0.698,0.488
190,LaPhonso Ellis\ellisla01,23,DEN,NBA,1993-94,79,79,34.2,6.1,12.2,6,11.9,0.1,0.3,3.1,4.5,2.8,5.8,8.6,2.1,0.8,1,2.2,3.8,15.4,0.502,0.506,0.304,0.505,0.674,0.542
191,LeRon Ellis\ellisle02,24,CHH,NBA,1993-94,50,1,13.6,1.8,3.6,1.8,3.6,0,0,0.9,1.4,1.4,2.4,3.8,0.5,0.3,0.5,0.4,1.7,4.4,0.484,0.484,,0.484,0.662,0.521
192,Jo Jo English\englijo01,23,CHI,NBA,1993-94,36,0,11.6,1.6,3.6,1.3,3.1,0.2,0.5,0.3,0.6,0.3,1,1.3,1.1,0.2,0.3,1,1.7,3.6,0.434,0.429,0.471,0.465,0.476,0.47
193,Matt Geiger\geigema01,24,MIA,NBA,1993-94,72,0,16.7,2.8,4.9,2.8,4.8,0,0.1,1.6,2.1,1.7,2.6,4.2,0.4,0.5,0.4,0.8,2.8,7.2,0.574,0.579,0.2,0.575,0.779,0.624
194,Litterial Green\greenli01,23,ORL,NBA,1993-94,29,0,4.3,0.8,2,0.7,1.8,0,0.1,1,1.3,0.2,0.2,0.4,0.3,0.2,0,0.4,0.6,2.5,0.386,0.396,0.25,0.395,0.757,0.498
195,Tom Gugliotta\guglito01,24,WSB,NBA,1993-94,78,78,35.8,6.9,14.9,6.4,13,0.5,1.9,2.7,4,2.4,6.9,9.3,3.5,2.2,0.7,3.2,2.2,17.1,0.466,0.495,0.27,0.483,0.685,0.514
196,Jay Guidinger\guidija01,24,CLE,NBA,1993-94,32,0,4.1,0.5,1,0.5,1,0,0,0.5,0.7,0.5,0.6,1,0.1,0.1,0.2,0.5,0.7,1.5,0.5,0.5,,0.5,0.714,0.57
197,Tony Harris\harrito01,26,BOS,NBA,1993-94,5,0,17.6,1.8,6.2,1.2,4.4,0.6,1.8,4.6,5,0.6,1.4,2,1.6,0.8,0,1.2,1.6,8.8,0.29,0.273,0.333,0.339,0.92,0.524
198,Robert Horry\horryro01,23,HOU,NBA,1993-94,81,81,29.3,4,8.7,3.4,7,0.5,1.7,1.4,1.9,1.6,3.9,5.4,2.9,1.5,0.9,1.7,2.3,9.9,0.459,0.491,0.324,0.49,0.732,0.521
199,Byron Houston\houstby01,24,GSW,NBA,1993-94,71,2,12.2,1.1,2.5,1.1,2.4,0,0.1,0.5,0.8,0.9,1.8,2.7,0.5,0.5,0.4,0.7,2.5,2.8,0.458,0.471,0.143,0.46,0.611,0.488
200,Stephen Howard\howarst01,23,UTA,NBA,1993-94,9,0,5.9,1.1,1.9,1.1,1.9,0,0,1.2,1.8,1.1,0.7,1.8,0.1,0.1,0.3,0.7,1.4,3.4,0.588,0.588,,0.588,0.688,0.645
201,Jim Jackson\jacksji01,23,DAL,NBA,1993-94,82,82,37.4,7.8,17.5,7.6,16.7,0.2,0.7,3.5,4.2,2.1,2.7,4.7,4.6,1.1,0.3,4.1,2,19.2,0.445,0.452,0.283,0.451,0.821,0.497
202,Keith Jennings\jennike01,25,GSW,NBA,1993-94,76,2,14.4,1.8,4.5,1.1,2.5,0.7,2,1.3,1.6,0.2,1,1.2,2.9,0.9,0,1,0.8,5.7,0.404,0.429,0.371,0.485,0.833,0.547
203,Dave Johnson\johnsda01,23,CHI,NBA,1993-94,17,0,7,1,3.2,1,3.1,0,0.1,0.8,1.2,0.5,0.4,0.9,0.2,0.2,0,0.5,0.4,2.8,0.315,0.321,0,0.315,0.619,0.372
204,Adam Keefe\keefead01,23,ATL,NBA,1993-94,63,1,12.1,1.5,3.4,1.5,3.4,0,0,1.3,1.8,1.2,2,3.2,0.5,0.3,0.1,1,1.3,4.3,0.451,0.451,,0.451,0.73,0.521
205,Christian Laettner\laettch01,24,MIN,NBA,1993-94,70,67,34.7,5.7,12.6,5.6,12.3,0.1,0.4,5.4,6.8,2.3,6.3,8.6,4.4,1.2,1.2,3.7,3.8,16.8,0.448,0.455,0.24,0.452,0.783,0.536
206,Don MacLean\macledo01,24,WSB,NBA,1993-94,75,69,33.2,6.9,13.7,6.9,13.5,0,0.3,4.4,5.3,1.9,4.4,6.2,2.1,0.6,0.3,2,2.3,18.2,0.502,0.509,0.143,0.503,0.824,0.566
207,Roy Marble\marblro01,27,DEN,NBA,1993-94,5,0,6.4,0.4,2.4,0.4,2.4,0,0,0,0.6,0.6,1,1.6,0.2,0,0.4,0.6,0.2,0.8,0.167,0.167,,0.167,0,0.15
208,Marlon Maxey\maxeyma01,24,MIN,NBA,1993-94,55,2,11.4,1.6,3,1.6,3,0,0,1.3,1.8,1.4,2.3,3.6,0.2,0.3,0.6,0.7,2.1,4.5,0.533,0.539,0,0.533,0.714,0.59
209,Lee Mayberry\maybele01,23,MIL,NBA,1993-94,82,6,18,2,4.9,1.5,3.5,0.5,1.5,0.7,1,0.3,0.9,1.2,2.6,0.6,0,1.2,1.4,5.3,0.415,0.445,0.345,0.466,0.69,0.493
210,Oliver Miller\milleol01,23,PHO,NBA,1993-94,69,30,25.9,4,6.6,4,6.5,0,0.1,1.2,2,2,4.9,6.9,3.5,1.2,2.3,2.4,3.3,9.2,0.609,0.617,0.222,0.611,0.584,0.617
211,Harold Miner\minerha01,22,MIA,NBA,1993-94,63,31,21.6,4,8.4,4,8.3,0.1,0.1,2.4,2.9,1.2,1.3,2.5,1.5,0.5,0.2,1.5,2.1,10.5,0.477,0.475,0.667,0.481,0.828,0.541
212,Alonzo Mourning\mournal01,23,CHH,NBA,1993-94,60,59,33.6,7.1,14.1,7.1,14.1,0,0,7.2,9.5,3,7.2,10.2,1.4,0.5,3.1,3.3,3.5,21.5,0.505,0.507,0,0.505,0.762,0.588
213,Tracy Murray\murratr01,22,POR,NBA,1993-94,66,1,12.4,2.5,5.4,1.8,3.7,0.8,1.7,0.8,1.1,0.7,1,1.7,0.5,0.3,0.3,0.6,1.2,6.6,0.47,0.476,0.459,0.541,0.694,0.561
214,Shaquille O'Neal\onealsh01,21,ORL,NBA,1993-94,81,81,39.8,11.8,19.6,11.8,19.6,0,0,5.8,10.5,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,0.599,0.6,0,0.599,0.554,0.605
215,Jimmy Oliver\oliveji01,24,BOS,NBA,1993-94,44,6,12.3,2,4.9,1.7,4.1,0.3,0.7,0.6,0.8,0.2,0.9,1,0.8,0.4,0,0.5,0.9,4.9,0.416,0.418,0.406,0.446,0.758,0.473
216,Doug Overton\overtdo01,24,WSB,NBA,1993-94,61,1,12.3,1.4,3.5,1.4,3.4,0,0.2,0.7,0.9,0.3,0.8,1.1,1.5,0.3,0,0.9,0.8,3.6,0.403,0.42,0.091,0.405,0.827,0.456
