,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
24,Mike Higgins\higgimi01,23,SAC,NBA,1990-91,7,0,8.7,0.9,1.4,0.9,1.4,0,0,0.6,1,0.6,0.1,0.7,0.3,0,0.3,0.6,2.3,2.3,0.6,0.6,,0.6,0.571,0.612
25,Byron Irvin\irvinby01,24,WSB,NBA,1990-91,33,4,9.6,1.8,3.9,1.8,3.8,0,0.2,1.5,1.8,0.7,0.6,1.4,0.7,0.5,0.1,0.5,1,5.2,0.465,0.476,0.2,0.469,0.82,0.549
26,Shawn Kemp\kempsh01,21,SEA,NBA,1990-91,81,66,30.1,5.7,11.2,5.7,11.1,0,0.1,3.6,5.4,3.3,5.1,8.4,1.8,1,1.5,2.5,3.9,15,0.508,0.513,0.167,0.509,0.661,0.551
27,Stacey King\kingst01,24,CHI,NBA,1990-91,76,6,15.8,2.1,4.4,2.1,4.4,0,0,1.4,2,0.9,1.8,2.7,0.9,0.3,0.6,1.2,1.8,5.5,0.467,0.47,0,0.467,0.704,0.523
28,Frank Kornet\kornefr01,24,MIL,NBA,1990-91,32,0,4.9,0.7,1.9,0.6,1.4,0.2,0.6,0.2,0.4,0.3,0.4,0.8,0.3,0.2,0,0.3,0.9,1.8,0.371,0.409,0.278,0.411,0.538,0.428
29,Tim Legler\legleti01,24,DEN,NBA,1990-91,10,0,14.8,2.5,7.2,2.2,6,0.3,1.2,0.5,0.6,0.8,1,1.8,1.2,0.2,0,0.4,2,5.8,0.347,0.367,0.25,0.368,0.833,0.389
30,Gary Leonard\leonaga01,23,ATL,NBA,1990-91,4,0,2.3,0,0,0,0,0,0,0.5,1,0,0.5,0.5,0,0,0.3,0,0.5,0.5,,,,,0.5,0.568
31,Clifford Lett\lettcl01,25,SAS,NBA,1990-91,7,0,14.1,2,4.1,2,4,0,0.1,0.9,1.3,0.1,0.9,1,1,0.3,0.1,1.1,1.3,4.9,0.483,0.5,0,0.483,0.667,0.516
32,Todd Lichti\lichtto01,24,DEN,NBA,1990-91,29,25,29.7,5.7,13,5.2,11.4,0.5,1.6,2,2.4,1.7,2.2,3.9,2.5,1.6,0.3,1.1,2.2,14,0.439,0.459,0.298,0.458,0.855,0.496
33,Šarūnas Marčiulionis\marcisa01,26,GSW,NBA,1990-91,50,10,19.7,3.7,7.3,3.6,7.2,0,0.1,3.6,4.9,1,1.3,2.4,1.7,1.2,0.1,1.5,2.7,10.9,0.501,0.507,0.167,0.503,0.724,0.576
34,Jeff Martin\martije01,24,LAC,NBA,1990-91,74,26,18,2.9,6.9,2.5,5.7,0.4,1.2,0.9,1.4,0.7,1.1,1.8,0.9,0.5,0.4,0.7,1.4,7.1,0.422,0.446,0.307,0.449,0.68,0.475
35,Anthony Mason\masonan01,24,DEN,NBA,1990-91,3,0,7,0.7,1.3,0.7,1.3,0,0,2,2.7,1,0.7,1.7,0,0.3,0,0,2,3.3,0.5,0.5,,0.5,0.75,0.665
36,George McCloud\mccloge01,23,IND,NBA,1990-91,74,0,14.5,1.8,4.7,1.2,3.1,0.6,1.7,0.5,0.7,0.5,1.1,1.6,2,0.5,0.1,1.2,1.9,4.6,0.373,0.388,0.347,0.434,0.776,0.46
37,Scott Meents\meentsc01,27,SEA,NBA,1990-91,13,0,4.1,0.5,2.2,0.5,2.1,0.1,0.1,0.2,0.3,0.2,0.5,0.8,0.6,0.5,0.3,0.5,0.4,1.3,0.25,0.222,1,0.268,0.5,0.286
38,Sam Mitchell\mitchsa01,27,MIN,NBA,1990-91,82,60,38.1,5.4,12.3,5.4,12.2,0,0.1,3.7,4.8,2.3,4,6.3,1.6,0.8,0.7,1.3,4.1,14.6,0.441,0.445,0,0.441,0.775,0.505
39,John Morton\mortojo01,23,CLE,NBA,1990-91,66,2,18.3,1.8,4.2,1.8,4,0.1,0.2,1.7,2.1,0.6,0.9,1.6,3.7,0.9,0.3,1.6,1.7,5.4,0.438,0.443,0.333,0.445,0.813,0.533
40,Craig Neal\nealcr01,26,DEN,NBA,1990-91,10,0,12.5,1.4,3.5,1.1,2.6,0.3,0.9,1.3,2.2,0.2,1.4,1.6,3.7,0.4,0,1.9,2.6,4.4,0.4,0.423,0.333,0.443,0.591,0.492
