,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Carmelo Anthony,20,DEN,NBA,2004-05,75,75,34.8,7.1,16.4,6.5,14.3,0.6,2.1,6.1,7.6,1.9,3.8,5.7,2.6,0.9,0.4,3,3.1,20.8,0.431,0.455,0.266,0.448,0.796,0.526
2,Marcus Banks,23,BOS,NBA,2004-05,81,2,14.1,1.4,3.5,1.2,2.8,0.3,0.7,1.5,2,0.4,1.2,1.6,1.9,0.8,0.2,1,1.8,4.6,0.402,0.414,0.356,0.439,0.742,0.52
3,Leandro Barbosa,22,PHO,NBA,2004-05,63,6,17.3,2.7,5.6,1.9,3.4,0.8,2.2,0.9,1.1,0.5,1.6,2.1,2,0.5,0.1,1.4,2,7,0.475,0.544,0.367,0.547,0.797,0.575
4,Matt Barnes,24,SAC,NBA,2004-05,43,9,16.6,1.4,3.5,1.3,3,0.1,0.5,0.8,1.3,1.1,2,3.1,1.3,0.7,0.2,1,1.9,3.8,0.411,0.442,0.227,0.427,0.603,0.465
5,Steve Blake,24,WAS,NBA,2004-05,44,1,14.7,1.4,4.2,0.6,2.1,0.8,2.1,0.8,0.9,0.4,1.2,1.6,1.6,0.3,0,0.9,1.1,4.3,0.328,0.269,0.387,0.425,0.805,0.468
6,Keith Bogans,24,CHA,NBA,2004-05,74,42,24.2,3.5,9.3,2.8,7,0.8,2.3,1.8,2.5,1,2,3.1,1.8,0.9,0.1,1.6,2.3,9.6,0.381,0.398,0.329,0.422,0.727,0.465
7,Curtis Borchardt,24,UTA,NBA,2004-05,67,23,12.8,1.1,2.6,1.1,2.6,0,0,0.8,1.1,1.3,2.1,3.3,0.7,0.1,0.5,0.8,2.4,3,0.43,0.43,,0.43,0.732,0.492
8,Chris Bosh,20,TOR,NBA,2004-05,81,81,37.2,5.8,12.4,5.8,12.3,0,0.1,5.1,6.7,2.4,6.5,8.9,1.9,0.9,1.4,2.3,2.8,16.8,0.471,0.472,0.3,0.472,0.76,0.547
9,Torraye Braggs,28,HOU,NBA,2004-05,7,0,3.4,0.4,1,0.4,1,0,0,0,0,1,0.7,1.7,0,0,0,0.3,0.6,0.9,0.429,0.429,,0.429,,0.429
10,Zarko Cabarkapa,23,TOT,NBA,2004-05,40,0,11.9,2.2,4.4,1.8,3.5,0.3,0.9,1.3,1.6,0.9,1.7,2.6,0.6,0.3,0.1,0.8,1.5,6,0.486,0.518,0.361,0.523,0.815,0.579
11,Matt Carroll,24,CHA,NBA,2004-05,25,0,17.2,2.8,7.2,2.3,5.6,0.5,1.6,2.8,3.3,0.5,1.9,2.4,0.7,0.7,0.1,1,1.5,9,0.389,0.404,0.333,0.425,0.855,0.517
12,Brian Cook,24,LAL,NBA,2004-05,72,0,15.1,2.4,5.9,1.4,3.1,1.1,2.8,0.4,0.5,0.9,2.1,3,0.5,0.3,0.4,0.4,1.9,6.4,0.417,0.439,0.392,0.509,0.757,0.522
13,Omar Cook,23,TOR,NBA,2004-05,5,0,14.8,2,4.8,2,4,0,0.8,0.6,1.2,0.4,1,1.4,4.4,1.2,0.2,1.2,1.2,4.6,0.417,0.5,0,0.417,0.5,0.432
14,Marquis Daniels,24,DAL,NBA,2004-05,60,17,23.5,3.7,8.4,3.6,7.8,0.1,0.6,1.6,2.2,1.5,2.2,3.6,2.1,1.4,0.2,1.4,2.1,9.1,0.437,0.454,0.2,0.443,0.737,0.484
15,Josh Davis,24,PHI,NBA,2004-05,42,5,7.8,1,2.6,0.5,1.4,0.5,1.3,0.3,0.4,0.7,1.2,1.9,0.3,0.2,0.1,0.4,1.1,2.8,0.378,0.397,0.358,0.464,0.824,0.494
16,Boris Diaw,22,ATL,NBA,2004-05,66,25,18.2,1.9,4.5,1.7,3.7,0.1,0.8,0.9,1.2,0.8,1.8,2.6,2.3,0.6,0.3,1.3,1.9,4.8,0.422,0.471,0.18,0.437,0.74,0.479
17,Kaniel Dickens,26,NJN,NBA,2004-05,11,0,5.5,0.4,1.3,0.1,0.5,0.3,0.8,0.2,0.2,0.3,0.5,0.8,0.1,0.2,0.1,0.2,0.5,1.2,0.286,0.2,0.333,0.393,1,0.437
18,Ronald Dupree,24,DET,NBA,2004-05,47,0,10,1.3,2.7,1.3,2.7,0,0,0.6,1,0.7,1.3,2,0.5,0.1,0.2,0.5,1.3,3.2,0.48,0.48,0.5,0.484,0.617,0.515
19,Ndudi Ebi,20,MIN,NBA,2004-05,2,0,27,5.5,10.5,5.5,10,0,0.5,2.5,4.5,3,5,8,0.5,0.5,0.5,1.5,3.5,13.5,0.524,0.55,0,0.524,0.556,0.541
20,Francisco Elson,28,DEN,NBA,2004-05,67,11,14,1.5,3.2,1.5,3.2,0,0,0.7,1.2,0.9,2.1,3,0.5,0.5,0.6,0.6,1.9,3.7,0.468,0.469,0.333,0.47,0.57,0.494
