,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
21,Maurice Evans,26,SAC,NBA,2004-05,65,11,19,2.5,5.7,2.1,4.5,0.4,1.3,0.9,1.2,1.4,1.7,3.1,0.7,0.6,0.1,0.5,1.6,6.4,0.442,0.474,0.329,0.479,0.756,0.511
22,Richie Frahm,27,POR,NBA,2004-05,43,0,11.6,1.3,3.3,0.6,1.4,0.7,1.9,0.5,0.6,0.4,1,1.4,0.7,0.3,0.1,0.3,0.8,3.8,0.4,0.417,0.388,0.511,0.84,0.543
23,Reece Gaines,24,TOT,NBA,2004-05,21,0,8.9,0.8,2.4,0.6,1.7,0.2,0.7,0.1,0.2,0,0.6,0.7,0.3,0.2,0,0.3,0.8,2,0.34,0.361,0.286,0.38,0.75,0.396
24,Alex Garcia,24,NOH,NBA,2004-05,8,3,18.3,2.3,6.5,1.6,4.3,0.6,2.3,0.4,0.5,0.9,1,1.9,2.3,0.5,0.1,1,1.9,5.5,0.346,0.382,0.278,0.394,0.75,0.409
25,Willie Green,23,PHI,NBA,2004-05,57,21,18.7,2.7,7.4,2.2,5.6,0.5,1.8,1.7,2.2,0.4,1.9,2.3,1.8,0.6,0.1,1.3,2.1,7.7,0.366,0.393,0.286,0.402,0.776,0.457
26,Ben Handlogten,31,UTA,NBA,2004-05,21,5,14.1,2,4,2,3.9,0,0,0.4,0.8,1.1,2,3.1,0.6,0.3,0.2,0.9,2.6,4.5,0.518,0.524,0,0.518,0.529,0.525
27,Junior Harrington,24,NOH,NBA,2004-05,29,7,19,2.2,6.1,2,5.5,0.2,0.7,1,1.2,0.4,1.7,2.2,2.1,0.9,0.2,1.4,2.5,5.6,0.36,0.365,0.316,0.376,0.829,0.421
28,Udonis Haslem,24,MIA,NBA,2004-05,80,80,33.4,4.3,8,4.3,8,0,0.1,2.2,2.8,3,6.1,9.1,1.4,0.8,0.5,1.4,3.3,10.9,0.54,0.543,0,0.54,0.791,0.588
29,Jarvis Hayes,23,WAS,NBA,2004-05,54,22,28.9,3.8,9.8,3,7.5,0.8,2.3,1.8,2.2,0.8,3.4,4.2,1.7,0.9,0.2,1.1,2,10.2,0.389,0.403,0.341,0.428,0.839,0.475
30,Kirk Hinrich,24,CHI,NBA,2004-05,77,77,36.4,5.8,14.6,3.9,9.3,1.9,5.3,2.2,2.8,0.4,3.5,3.9,6.4,1.6,0.3,2.3,3.2,15.7,0.397,0.42,0.355,0.461,0.792,0.495
31,Josh Howard,24,DAL,NBA,2004-05,76,76,32.2,5,10.4,4.5,8.9,0.4,1.5,2.2,3.1,2.2,4.1,6.4,1.4,1.5,0.6,1.6,2.8,12.6,0.475,0.506,0.296,0.497,0.733,0.535
32,Brandon Hunter,24,ORL,NBA,2004-05,31,0,7.2,1.2,2.4,1.2,2.4,0,0,0.7,1.3,0.8,1.4,2.2,0.1,0.1,0.2,0.7,1.4,3.1,0.507,0.507,,0.507,0.538,0.527
33,LeBron James,20,CLE,NBA,2004-05,80,80,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6,8,1.4,6,7.4,7.2,2.2,0.7,3.3,1.8,27.2,0.472,0.499,0.351,0.504,0.75,0.554
34,Britton Johnsen,25,IND,NBA,2004-05,6,1,14.5,1,3.7,1,3,0,0.7,0,0,0.8,0.8,1.7,0.7,0.2,0,0.5,1.7,2,0.273,0.333,0,0.273,,0.273
35,Linton Johnson,24,SAS,NBA,2004-05,2,0,7.5,0,1,0,0.5,0,0.5,0,0,0,1.5,1.5,0,0.5,0,0.5,0.5,0,0,0,0,0,,0
36,Dahntay Jones,24,MEM,NBA,2004-05,52,7,12.5,1.6,3.7,1.2,2.5,0.4,1.2,0.8,1.2,0.2,1.1,1.3,0.4,0.3,0.2,0.6,1.6,4.5,0.437,0.462,0.383,0.497,0.688,0.534
37,James Jones,24,IND,NBA,2004-05,75,24,17.7,1.7,4.2,0.8,2,0.9,2.2,0.7,0.8,0.5,1.8,2.3,0.8,0.4,0.4,0.6,1.6,4.9,0.396,0.395,0.398,0.5,0.855,0.537
38,Chris Kaman,22,LAC,NBA,2004-05,63,50,25.9,3.9,7.9,3.9,7.8,0,0,1.3,1.9,2.1,4.6,6.7,1.2,0.4,1.1,1.8,2.9,9.1,0.497,0.498,0,0.497,0.661,0.522
39,Jason Kapono,23,CHA,NBA,2004-05,81,14,18.4,3.3,8.3,2.3,5.9,1,2.4,0.9,1,0.4,1.6,2,0.8,0.5,0.1,0.6,1.6,8.5,0.401,0.396,0.412,0.461,0.824,0.486
40,Kyle Korver,23,PHI,NBA,2004-05,82,57,32.5,3.9,9.3,1.1,2.5,2.8,6.8,1,1.2,0.5,4.1,4.6,2.2,1.3,0.4,1.3,3.2,11.5,0.418,0.453,0.405,0.567,0.854,0.588
41,Maciej Lampe,19,TOT,NBA,2004-05,37,0,10.3,1.3,3.6,1.3,3.5,0.1,0.1,0.4,0.6,0.6,1.8,2.4,0.3,0.1,0.2,0.5,1.4,3.1,0.371,0.367,0.5,0.379,0.682,0.406
42,Raul Lopez,24,UTA,NBA,2004-05,31,15,16.7,1.8,4.4,1.2,2.9,0.6,1.5,0.9,1.1,0.2,1,1.3,4,0.7,0.1,1.5,2.5,5.2,0.422,0.411,0.444,0.496,0.818,0.538
43,Keith McLeod,25,UTA,NBA,2004-05,53,47,26.1,2.7,7.7,2.4,6.3,0.3,1.4,2.1,2.8,0.4,1.8,2.1,4.5,1.2,0.2,1.9,2.6,7.8,0.35,0.372,0.25,0.373,0.767,0.44
44,Darko Milicic,19,DET,NBA,2004-05,37,2,6.9,0.7,2.1,0.7,2.1,0,0,0.5,0.6,0.1,1.1,1.2,0.2,0.1,0.5,0.4,0.8,1.8,0.329,0.329,,0.329,0.708,0.387
45,Travis Outlaw,20,POR,NBA,2004-05,59,2,13.4,2.3,4.5,2.2,4.4,0.1,0.2,0.8,1.3,0.7,1.4,2.1,0.6,0.5,0.7,0.7,1.3,5.4,0.498,0.502,0.4,0.506,0.653,0.532
46,Zaza Pachulia,20,MIL,NBA,2004-05,74,4,18.9,2.2,4.8,2.2,4.8,0,0,1.9,2.5,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2,0.452,0.453,0,0.452,0.746,0.526
47,Smush Parker,23,TOT,NBA,2004-05,16,1,9,1.1,2.7,0.9,1.9,0.2,0.8,0.6,0.8,0.3,0.5,0.8,0.9,0.3,0,1.2,1,3,0.419,0.5,0.231,0.453,0.692,0.493
48,Sasha Pavlovic,21,CLE,NBA,2004-05,65,9,13.3,1.8,4.2,1.4,3,0.5,1.2,0.7,1,0.2,0.9,1.1,0.8,0.4,0.1,0.7,1.9,4.8,0.435,0.455,0.385,0.489,0.688,0.516
49,Kirk Penney,24,LAC,NBA,2004-05,4,0,3,0.3,0.8,0.3,0.5,0,0.3,0,0,0,0.3,0.3,0.3,0,0,0.5,0,0.5,0.333,0.5,0,0.333,,0.333
50,Kendrick Perkins,20,BOS,NBA,2004-05,60,3,9.1,0.9,2,0.9,2,0,0,0.6,1,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5,0.471,0.471,,0.471,0.638,0.515
51,Mickael Pietrus,22,GSW,NBA,2004-05,67,3,20,3.2,7.5,2.2,4.6,1,2.9,2.1,3,1,1.9,2.8,1.2,0.7,0.3,1.4,2.1,9.5,0.427,0.48,0.344,0.494,0.698,0.539
52,Zoran Planinic,22,NJN,NBA,2004-05,43,8,12,1.8,4,1.5,3.1,0.3,0.9,1.1,1.5,0.4,1.2,1.6,1,0.6,0,1,1.8,5,0.448,0.47,0.375,0.491,0.697,0.534
53,Aleksandar Radojevic,28,UTA,NBA,2004-05,12,6,10.7,0.5,1.6,0.5,1.6,0,0,0.6,0.8,0.8,1.6,2.3,0.5,0,0.2,1.3,2.7,1.6,0.316,0.316,,0.316,0.7,0.406
54,Luke Ridnour,23,SEA,NBA,2004-05,82,82,31.4,3.6,9,2.8,6.8,0.8,2.2,1.9,2.2,0.7,1.8,2.5,5.9,1.1,0.3,1.8,2.3,10,0.405,0.414,0.376,0.45,0.883,0.504
55,Theron Smith,24,CHA,NBA,2004-05,33,5,15.5,1.3,4.1,1.2,3.8,0.1,0.4,0.4,0.5,1.2,2.3,3.5,0.8,0.2,0.1,0.8,1.8,3.2,0.324,0.331,0.25,0.335,0.875,0.367
56,Darius Songaila,26,SAC,NBA,2004-05,81,21,20.6,3.2,6,3.2,6,0,0,1.2,1.4,1.5,2.7,4.2,1.4,0.6,0.2,0.9,2.5,7.5,0.527,0.53,0,0.527,0.847,0.566
57,Mike Sweetney,22,NYK,NBA,2004-05,77,28,19.6,3.1,5.8,3.1,5.8,0,0,2.3,3.1,2.2,3.2,5.4,0.6,0.4,0.4,1.4,2.9,8.4,0.531,0.533,0,0.531,0.749,0.592
58,Dwyane Wade,23,MIA,NBA,2004-05,77,77,38.6,8.2,17.1,8,16.5,0.2,0.6,7.5,9.9,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3,24.1,0.478,0.485,0.289,0.483,0.762,0.561
59,Luke Walton,24,LAL,NBA,2004-05,61,5,12.6,1.2,3,1,2,0.3,1,0.6,0.8,0.9,1.4,2.3,1.5,0.4,0.2,1,1.1,3.2,0.411,0.487,0.262,0.456,0.708,0.492
60,David West,24,NOH,NBA,2004-05,30,8,18.4,2.5,5.7,2.4,5.6,0.1,0.2,1.1,1.7,1.3,3,4.3,0.8,0.4,0.5,1.2,2.1,6.2,0.436,0.437,0.4,0.442,0.68,0.479
61,Mo Williams,22,MIL,NBA,2004-05,80,80,28.2,4,9.2,3.6,8,0.4,1.2,1.7,2,0.6,2.4,3.1,6.1,0.9,0.1,2.5,2.8,10.2,0.438,0.456,0.323,0.46,0.85,0.504
