GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.08,22.4,4.3,8.6,4.0,7.6,0.3,0.9,3.8,4.9,0.8,1.5,2.3,2.2,1.3,0.1,2.0,2.7,12.8,.505,.522,.369,.526,.768,0,0
0.34,18.8,2.7,6.4,2.5,5.7,0.2,0.7,1.1,1.6,0.9,1.1,2.0,0.8,0.5,0.3,0.7,1.4,6.7,.417,.434,.282,.433,.694,0,0
0.63,34.7,4.1,8.0,4.1,8.0,0.0,0.0,2.8,4.0,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9,.509,.510,.167,.510,.709,1,1
0.25,22.8,3.2,8.0,2.0,4.7,1.2,3.4,1.4,1.7,0.9,2.2,3.1,2.3,0.8,0.2,1.4,2.1,9.0,.402,.434,.358,.477,.810,0,0
0.0,5.2,0.7,1.8,0.6,1.8,0.0,0.0,0.5,0.7,0.3,0.8,1.0,0.4,0.3,0.2,0.4,0.4,1.8,.361,.352,1.000,.368,.704,0,0
0.32,22.4,3.2,7.2,3.2,7.0,0.1,0.3,2.1,2.7,1.3,2.5,3.7,1.1,0.6,0.3,0.8,2.5,8.7,.447,.456,.223,.451,.784,0,0
0.04,14.7,1.6,4.1,1.5,3.7,0.1,0.5,1.5,1.9,0.4,0.8,1.3,2.7,0.7,0.2,1.5,1.3,4.8,.386,.406,.224,.399,.787,0,0
0.0,9.9,0.9,2.5,0.7,1.8,0.2,0.7,0.4,0.7,0.1,0.6,0.7,2.5,0.4,0.1,1.2,1.5,2.5,.373,.400,.302,.415,.600,0,0
0.09,8.1,1.5,3.7,1.4,3.3,0.1,0.4,0.4,0.4,0.3,0.9,1.2,0.4,0.3,0.2,0.5,0.9,3.5,.410,.424,.293,.426,.859,0,0
0.51,26.4,5.9,11.6,5.0,9.6,0.9,2.0,2.7,3.3,0.8,1.5,2.3,2.4,0.9,0.1,2.1,2.6,15.4,.506,.520,.437,.544,.841,0,1
0.0,4.8,0.8,1.9,0.8,1.9,0.0,0.0,0.3,0.4,0.5,0.6,1.1,0.3,0.1,0.1,0.5,0.8,1.9,.405,.410,.000,.405,.750,0,0
0.04,11.1,1.5,3.5,1.3,2.9,0.2,0.6,0.3,0.5,0.7,1.0,1.6,0.6,0.3,0.2,0.5,1.2,3.4,.414,.434,.326,.443,.677,0,0
0.44,22.9,3.2,6.8,3.2,6.8,0.0,0.1,2.0,2.8,1.5,3.5,5.0,1.0,0.8,0.4,1.4,2.9,8.5,.472,.475,.135,.472,.716,0,0
